Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Topic,Subtopic
What are common ways to earn passive income?,Selling personal items,Borrowing money and lending it out,"Savings accounts, fixed deposits, dividends from investments, and rental income",Working overtime at your job,C,Medium,How to Grow Your Money,Income Sources
What happens during an economic slowdown?,The market always improves,Nothing affects your job or savings,Times when the economy is weak - jobs are harder to find and investments may lose value,Everyone gets richer,C,Medium,How to Grow Your Money,Money Mindset
What are some smart money habits?,Borrow whenever possible,"Save regularly, avoid unnecessary debt, track expenses, and invest for the future",Spend all your money immediately,Never check your bank balance,B,Hard,How to Grow Your Money,Money Mindset
How can you increase your income over time?,Borrow money to invest,Work the same job forever without asking for a raise,Spend more to earn more,"Develop new skills, pursue higher education, ask for raises, or start a side business",D,Hard,How to Grow Your Money,Income Sources
What is a business license?,Only for manufacturing businesses,A fake document,Official permission from the government to operate your business,Not needed for small businesses,C,Easy,Small Business Fundamentals,Basic Business Resources
What is business registration?,The legal process of officially establishing your business,Telling your family about your business,A scam you should avoid,Optional and never required,A,Easy,Small Business Fundamentals,Basic Business Resources
Why is having a business partner important?,Partners are never helpful,Only for large companies,It is always required by law,Someone to share workload and bring different skills,D,Easy,Small Business Fundamentals,Finding Business Partners
Where can you get initial ideas for a small business?,You cannot generate your own ideas,Only from existing businesses,Ideas come from luck only,By identifying problems you see in your daily life,D,Easy,Small Business Fundamentals,Finding Business Ideas
What is a good first step before starting a business?,Skip planning and just start,Tell everyone about your idea before testing it,Spend all your savings immediately,Research if people actually need your product or service,D,Easy,Small Business Fundamentals,Finding Business Ideas
What should you look for when choosing a business partner?,Only their appearance,How much money they have,"Shared values, complementary skills, and trustworthiness",Nothing matters - just pick anyone,C,Medium,Small Business Fundamentals,Finding Business Partners
Why do you need an accountant for your business?,Accountants are only for large corporations,They are not needed at all,"To track income, expenses, and ensure tax compliance",You can never manage money without one,C,Medium,Small Business Fundamentals,Basic Business Resources
What is a small business loan from microfinance?,Money you borrow from friends,A loan from the bank for business without needing expensive collateral like land or property,A type of credit card,Money you steal,B,Medium,Small Business Fundamentals,Initial Funding Sources
What basic resources do you need to start most small businesses?,Nothing - no resources needed,Only a dream,"An accountant, proper business registration, and basic licenses",Gold and expensive equipment,C,Medium,Small Business Fundamentals,Basic Business Resources
Where can you get initial funding for a small business?,Only from banks,You must have venture capital,Funding is impossible to find,"Personal savings, family loans, or microfinance institutions - PMMY is key for self-employed workers",D,Medium,Small Business Fundamentals,Initial Funding Sources
What is a side business?,Volunteer work,A hobby that costs money,A business or work done outside your main job to earn additional income,A second full-time job,C,Easy,Starting a Small Business,Business Planning
What is startup capital?,Profit from sales,Initial money needed to start a business,Money earned from your business,Interest from investments,B,Easy,Starting a Small Business,Funding Basics
What is market research?,Watching TV or reading news,Studying potential customers and competitors to understand demand for your product,A test of your product quality,Learning about your competitors' prices,B,Medium,Starting a Small Business,Business Planning
What is cash flow in a business?,The movement of money in and out of your business,The total money your business has,The profit your business makes,The money you spend on salaries,A,Medium,Starting a Small Business,Financial Metrics
What is a business plan?,"A document outlining your business idea, market analysis, operations, and financial projections",A story about your business,A list of things to buy for your business,A contract with your customers,A,Medium,Starting a Small Business,Business Planning
Where can you get funding to start a business?,Only from wealthy friends,Only from banks,Only from your parents,"Personal savings, bank loans, investors, and government schemes",D,Medium,Starting a Small Business,Funding Basics
What is the difference between profit and revenue?,"Profit is money earned, revenue is money lost",They are the same thing,"Revenue is total money earned, profit is revenue minus expenses",Revenue is profit minus expenses,C,Hard,Starting a Small Business,Financial Metrics
Why is pricing important in a small business?,Lower prices always mean more sales,Higher prices always mean better quality,Pricing doesn't matter much,"Proper pricing ensures profit, competitiveness, and customer satisfaction",D,Hard,Starting a Small Business,Business Planning
What are the basic steps to start a small business?,Just start without planning,"Identify your idea, research the market, create a plan, secure funding, and launch",Copy what your friend is doing,Borrow a lot of money first,B,Hard,Starting a Small Business,Business Planning
What is a good first step if you want to start investing?,Never invest - keep money in your mattress,Wait until you have 10 lakhs to start,Invest all your money immediately in stocks,Learn the basics and start with small amounts,D,Easy,Where to Invest Your Money,Getting Started with Investing
How much money do you need to start investing?,You need at least 1 lakh to start,You need to be a millionaire first,You can start with just a few hundred rupees through mutual funds or FDs,You need 10 lakhs minimum,C,Easy,Where to Invest Your Money,Getting Started with Investing
What platforms can you use in India to start investing and learning?,Only through physical stock brokers,You cannot invest online in India,Only banks have investment options,"Apps like Groww, Angel One, and Zerodha offer user-friendly platforms - perfect for busy informal workers",D,Easy,Where to Invest Your Money,Investment Platforms
What are good investment options for beginners in India?,Gambling and speculation,Mutual funds and Fixed Deposits (FDs),Only expensive real estate,Keeping all money in cash,B,Medium,Where to Invest Your Money,Types of Investments
What are good investment options for beginners in India with small amounts?,Only expensive stocks on the stock market,Investment is only for wealthy people,You need 10 lakhs to start investing,"Mutual funds, FDs, and government schemes like PPF starting with small investments",D,Hard,Where to Invest Your Money,Types of Investments
What should you look for when choosing a Fixed Deposit (FD)?,How many branches they have,The color of the bank building,The age of the bank manager,Interest rate offered and whether the bank is RBI-regulated,D,Hard,Where to Invest Your Money,Practical Investment Tips
Where can you find free information about safe investing in India?,Only from paid financial advisors,You have to figure it out on your own,Your bank can provide free guides and resources on safe investing,There are no free resources available,C,Hard,Where to Invest Your Money,Resources & Learning
